Atomic Service Type;Task;Dataset;Dataset Structure-Attributes;Projection;Selection;Aggregation;Transformation;Additional Info;;;;;;;;;;;;;;;;
Monitor;Tracking Predictive Welding Quality;Welding Process Quality Dataset;weld_id:string,heat_input:float,arc_stability:float,penetration_depth:float,welding_technique:string;Select heat input, arc stability, and penetration depth;Filter for advanced welding techniques;Calculate average heat input, minimum arc stability, and maximum penetration depth;Round heat input to two decimal places, convert welding techniques to uppercase;model_comparison_method:statistical_analysis,confidence_level:0.97;;;;;;;;;;;;;;;;
Collect;Reading Green Manufacturing Emissions;Sustainability Manufacturing Dataset;facility_id:string,carbon_emissions:float,energy_efficiency:float,waste_reduction:float,manufacturing_process:string;Select carbon emissions, energy efficiency, and waste reduction metrics;Filter for eco-friendly manufacturing processes;Calculate total carbon emissions, average energy efficiency, and maximum waste reduction;Round carbon emissions to two decimal places, convert manufacturing processes to lowercase;emission_tracking_frequency:hourly,carbon_reduction_target:20%;;;;;;;;;;;;;;;;
Dispatch;Applying AI-Driven Supply Chain Optimization;Global Supply Chain Dataset;shipment_id:string,transit_time:float,route_efficiency:float,logistics_cost:float,transportation_mode:string;Select transit times, route efficiency, and logistics costs;Filter for international manufacturing logistics;Calculate average transit times, minimum logistics costs, and maximum route efficiency;Round transit times to two decimal places, convert transportation modes to uppercase;optimization_confidence:0.93,cost_reduction_window:45 days;;;;;;;;;;;;;;;;
Monitor;Conducting Advanced Materials Characterization;Advanced Materials Performance Dataset;sample_id:string,tensile_strength:float,thermal_conductivity:float,corrosion_resistance:float,material_type:string;Select tensile strength, thermal conductivity, and corrosion resistance;Filter for high-performance material categories;Calculate average tensile strength, minimum thermal conductivity, and maximum corrosion resistance;Round tensile strength to two decimal places, convert material types to lowercase;characterization_method:multi-spectral,confidence_level:0.99;;;;;;;;;;;;;;;;
Collect;Reading Battery Manufacturing Quality;Battery Production Dataset;cell_id:string,capacity_retention:float,charge_cycle:float,internal_resistance:float,manufacturing_line:string;Select capacity retention, charge cycles, and internal resistance;Filter for high-performance battery manufacturing lines;Calculate average capacity retention, maximum charge cycles, and minimum internal resistance;Round capacity retention to two decimal places, convert manufacturing lines to uppercase;quality_sampling_rate:15 minutes,performance_threshold:0.95;;;;;;;;;;;;;;;;
Dispatch;Applying Predictive Wind Turbine Maintenance;Wind Energy Manufacturing Dataset;turbine_id:string,blade_wear:float,generator_temperature:float,power_output:float,operational_condition:string;Select blade wear, generator temperatures, and power output;Filter for offshore wind energy installations;Calculate average blade wear, maximum generator temperature, and total power output;Round blade wear to two decimal places, convert operational conditions to lowercase;maintenance_prediction_confidence:0.94,inspection_window:60 days;;;;;;;;;;;;;;;;
Monitor;Performing Aerospace Component Inspection;Aerospace Manufacturing Quality Dataset;component_id:string,structural_integrity:float,fatigue_resistance:float,surface_roughness:float,manufacturing_process:string;Select structural integrity, fatigue resistance, and surface roughness;Filter for precision aerospace manufacturing processes;Calculate average structural integrity, minimum surface roughness, and maximum fatigue resistance;Round structural integrity to three decimal places, convert manufacturing processes to uppercase;inspection_method:non-destructive,confidence_level:0.98;;;;;;;;;;;;;;;;
Collect;Reading Smart Textile Manufacturing Data;Intelligent Textiles Dataset;fabric_id:string,fiber_strength:float,moisture_wicking:float,thermal_regulation:float,production_line:string;Select fiber strength, moisture wicking, and thermal regulation properties;Filter for high-performance textile manufacturing lines;Calculate average fiber strength, maximum moisture wicking, and minimum thermal regulation;Round fiber strength to two decimal places, convert production lines to lowercase;sampling_interval:10 minutes,quality_threshold:0.92;;;;;;;;;;;;;;;;
Dispatch;Applying Quantum Sensor Calibration;Quantum Sensor Manufacturing Dataset;sensor_id:string,quantum_coherence:float,response_time:float,noise_level:float,calibration_method:string;Select quantum coherence, response times, and noise levels;Filter for advanced quantum sensing technologies;Calculate average quantum coherence, minimum response time, and maximum noise level;Round quantum coherence to three decimal places, convert calibration methods to uppercase;calibration_confidence:0.96,recalibration_window:90 days;;;;;;;;;;;;;;;;
Monitor;Comparing Nanotechnology Manufacturing Models;Nanomaterial Production Dataset;sample_id:string,particle_size:float,surface_area:float,chemical_reactivity:float,synthesis_method:string;Select particle size, surface area, and chemical reactivity;Filter for advanced nanotechnology manufacturing processes;Calculate average particle size, minimum surface area, and maximum chemical reactivity;Round particle size to three decimal places, convert synthesis methods to lowercase;model_comparison_method:multi-parameter,confidence_level:0.97;;;;;;;;;;;;;;;;
Collect;Reading Pharmaceutical Manufacturing Quality;Pharmaceutical Production Dataset;batch_id:string,drug_purity:float,dissolution_rate:float,stability_index:float,manufacturing_line:string;Select drug purity, dissolution rates, and stability indices;Filter for high-precision pharmaceutical manufacturing lines;Calculate average drug purity, maximum dissolution rate, and minimum stability index;Round drug purity to three decimal places, convert manufacturing lines to uppercase;sampling_frequency:hourly,quality_threshold:0.99;;;;;;;;;;;;;;;;
Dispatch;Applying Seismic Equipment Monitoring;Geophysical Equipment Dataset;equipment_id:string,sensor_sensitivity:float,signal_stability:float,environmental_durability:float,deployment_condition:string;Select sensor sensitivity, signal stability, and environmental durability;Filter for extreme environment geophysical equipment;Calculate average sensor sensitivity, minimum signal stability, and maximum environmental durability;Round sensor sensitivity to two decimal places, convert deployment conditions to lowercase;monitoring_confidence:0.95,calibration_window:120 days;;;;;;;;;;;;;;;;
Monitor;Tracking Marine Propulsion System Performance;Marine Engineering Dataset;vessel_id:string,propulsion_efficiency:float,fuel_consumption:float,vibration_level:float,operational_mode:string;Select propulsion efficiency, fuel consumption, and vibration levels;Filter for advanced marine propulsion technologies;Calculate average propulsion efficiency, minimum fuel consumption, and maximum vibration level;Round propulsion efficiency to two decimal places, convert operational modes to uppercase;performance_tracking_method:real-time,confidence_level:0.96;;;;;;;;;;;;;;;;
Collect;Reading Precision Agricultural Equipment Data;Smart Farming Dataset;equipment_id:string,soil_moisture:float,nutrient_distribution:float,energy_consumption:float,farming_technique:string;Select soil moisture, nutrient distribution, and energy consumption;Filter for precision agricultural technologies;Calculate average soil moisture, maximum nutrient distribution, and total energy consumption;Round soil moisture to two decimal places, convert farming techniques to lowercase;sampling_interval:15 minutes,efficiency_target:0.93;;;;;;;;;;;;;;;;
Dispatch;Applying Robotic Microsurgery Optimization;Medical Robotics Dataset;procedure_id:string,motion_precision:float,tool_path_accuracy:float,tremor_reduction:float,surgical_technique:string;Select motion precision, tool path accuracy, and tremor reduction;Filter for advanced minimally invasive surgical procedures;Calculate average motion precision, minimum tool path deviation, and maximum tremor reduction;Round motion precision to three decimal places, convert surgical techniques to uppercase;optimization_confidence:0.97,procedure_adaptation_window:30 days;;;;;;;;;;;;;;;;
Monitor;Comparing Hydrogen Fuel Cell Manufacturing Models;Hydrogen Energy Manufacturing Dataset;cell_id:string,energy_conversion_efficiency:float,durability:float,hydrogen_purity:float,production_method:string;Select energy conversion efficiency, durability, and hydrogen purity;Filter for advanced hydrogen energy manufacturing techniques;Calculate average energy conversion efficiency, minimum durability, and maximum hydrogen purity;Round energy conversion efficiency to two decimal places, convert production methods to lowercase;model_comparison_method:multi-factor,confidence_level:0.98;;;;;;;;;;;;;;;;
Collect;Reading Automotive Lightweight Materials Performance;Advanced Materials Characterization Dataset;sample_id:string,weight_reduction:float,impact_resistance:float,thermal_performance:float,material_type:string;Select weight reduction, impact resistance, and thermal performance;Filter for innovative automotive lightweight materials;Calculate average weight reduction, maximum impact resistance, and minimum thermal performance;Round weight reduction to two decimal places, convert material types to uppercase;sampling_frequency:daily,performance_threshold:0.95;;;;;;;;;;;;;;;;
Dispatch;Applying Smart Grid Energy Management;Smart Energy Distribution Dataset;grid_section_id:string,power_stability:float,renewable_integration:float,grid_efficiency:float,operational_mode:string;Select power stability, renewable integration, and grid efficiency;Filter for advanced smart grid technologies;Calculate average power stability, maximum renewable integration, and minimum grid efficiency;Round power stability to two decimal places, convert operational modes to lowercase;optimization_confidence:0.94,load_balancing_window:24 hours;;;;;;;;;;;;;;;;
Monitor;Conducting Food Processing Quality Control;Food Manufacturing Quality Dataset;batch_id:string,nutritional_consistency:float,microbial_load:float,shelf_life_prediction:float,processing_technique:string;Select nutritional consistency, microbial load, and shelf life prediction;Filter for advanced food processing techniques;Calculate average nutritional consistency, minimum microbial load, and maximum shelf life prediction;Round nutritional consistency to two decimal places, convert processing techniques to uppercase;control_method:multi-parameter,confidence_level:0.99;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
